rowname,Breast cancer cells,Myeloid cells,T cells,B cells,Stromal cells,Immune cells
Breast cancer cells,5346324.679,17759928.41,22015706.69,10550691.8,6048331.712,17291383.93
Myeloid cells,15056868.8,29194547.93,82934320.33,21134098.76,17726686.99,48929319.56
T cells,9197220.357,22488400.34,64872745.81,15817864.3,9735169.9,33403184.69
B cells,5510393.431,13721915.21,26760012.72,8263952.27,5522373.848,16762850.92
Stromal cells,18625335.45,35428646.7,61779327.62,22364281.54,23545849.86,43616684.89
Immune cells,14078224.16,32594947.01,72364998,21260383.76,15278205.26,42957413.66
