rowname,Breast cancer cells,Myeloid cells,T cells,B cells,Stromal cells,Immune cells
Breast cancer cells,316.783498,186.629668,103.967108,98.29672,214.900664,224.799493
Myeloid cells,152.916896,114.612616,86.608361,64.081956,125.53339,162.503127
T cells,94.869765,71.456218,49.906289,38.030456,66.805553,89.108059
B cells,100.560651,66.541498,43.833852,38.498217,70.35912,82.556753
Stromal cells,224.876289,152.572158,95.485547,75.928163,184.485917,194.446992
Immune cells,215.520673,145.022642,90.906451,77.97501,162.351956,191.268275
